阶段 0，第 1 章：宇宙

---

1.1 第一缕光
D 仅仅是在火山灰中的一个脚印。
A2: B

Q3: 露西被归类为
A 一个现代智人。
B 一个尼安德特人的表亲。
C 一种南方古猿，一种早期人类。
D 一个原始的黑猩猩祖先。
A3: C

---

3.3 走出稀树草原

露西的后代，在经过大约两百万年的缓慢精炼之后，开始了从非洲出发的漫长迁徙，最终遍布了地球上每一个可居住的大陆。然而，并非她所有的后代都离开了。一个特定的分支选择留在露西曾经走过的同一片非洲草原上，而这个分支至今仍留在同一个地方。仍然生活在非洲稀树草原上的人类群落，与它们不会说话的邻居占据着同样的食物链，在旱季和雨季的放牧区之间季节性迁徙，这种与荒野的亲密关系，我们物种的其他部分基本上已经放弃了。狮子，这个星球上最重的猫科动物，统治着那条食物链的上层，以协调的狮群进行捕猎，分工负责追逐和埋伏。长颈鹿在金合欢树的高处树冠觅食，比任何其他食草动物提前几分钟就能感知到远处的捕食者。斑马集结成条纹状的庞大群体，它们移动的图案会迷惑追击食肉动物的视觉处理能力。秃鹫在整个系统上空盘旋，这些食腐动物的酸性胃能够吞噬会毒死任何其他脊椎动物的腐烂尸体。

Q1: 一些人类群落仍然与其野生邻居占据着同样的食物链，他们生活在非洲的
A 雨林。
B 稀树草原。
C 沙丘。
D 三角洲。
A1: B

Q2: 那种酸性胃能消化腐烂尸体的食腐动物是
A 狮子。
B 长颈鹿。
C 斑马。
D 秃鹫。
A2: D

Q3: 斑马通过以下方式迷惑追击的食肉动物
A 比任何狮子跑得更快。
B 集结成条纹状的庞大群体，呈现出移动的图案。
C 用有力的后腿踢击。
D 躲藏在金合欢树冠中。
A3: B

---

3.4 我们留下的表亲

当非洲灵长类动物的一个分支走出世界时，其他几个分支则留在了刚果盆地的赤道雨林中，并发展出了与我们完全不同的生活。三种密切相关的猿类现在共享那片广阔的绿色树冠。黑猩猩，按基因衡量是我们最近的表亲，生活在不安分的政治群体中，其中的阿尔法雄性通过精心维护的联盟和偶尔爆发的策略性暴力来维持其统治地位。倭黑猩猩，在解剖学上与黑猩猩只有细微差别，却为解决冲突问题设计了一种完全不同的解决方案：在倭黑猩猩社会中，几乎每一个潜在的争端都通过性接触来调解，而占主导地位的个体通常是雌性。大猩猩，三者中体型最大且温和的素食者，生活在由一只银背领导的安静山地后宫中，其权威很少受到挑战。三种猿，每一种在基因上都几乎与其他种类相同，然而每一种都展示了对同一个进化问题——如何组织一个社会——截然不同的答案。

Q1: 在倭黑猩猩社会中，几乎每一个潜在的争端都通过什么来调解？
A 正式的食物交换。
B 性接触。
C 有组织的暴力的威胁。
D 由最年长雄性进行的仲裁。
A1: B

Q2: 黑猩猩群体由谁统治？
A 一个高级雌性组成的委员会。
B 在兄弟间共享的轮流领导权。
C 一个通过联盟维持的阿尔法雄性。
D 一位受每个成员尊敬的银背。
A2: C

Q3: 银背。
A 倭黑猩猩群体中最年长的雌性。
B 刚果盆地的一种孤独的山猴。
C 带领安静后宫的占主导地位的大猩猩雄性。
D 一个新近被接纳进群体的年轻黑猩猩。
A3: C

---

3.5 当撒哈拉还是绿色的时候

地球上最大的沙漠并不总是沙漠。一万年前，我们现在称之为撒哈拉的地区是一个由湖泊和草原组成的广阔网络，由每年夏季可靠向北移动的大西洋季风滋养，该地区的悬崖上至今仍展示着曾经居住在那里的人们制作的生动岩画：关于牛的画，关于游泳者的画，关于河马和水牛在数千年来未曾流淌的河流中涉水的画。然后，大约三千年前，地球的轨道倾角改变了微小的一度，季风路径向南移动，湖泊一个接一个地蒸发。随着植被退化，灰尘堆积，整个地区变成了非洲大陆上最严酷的景观。在今天沙丘之下，鳄鱼和乌龟的骨骼仍不断从干涸的古代湖泊的河床中被挖掘出来，这是沙漠小心埋葬的、更湿润过去的地质证据。

Q1: 一万年前，撒哈拉是由什么灌溉的？
A 尼罗河三角洲的夏季洪水。
B 一股向北移动的可靠的大西洋季风。
C 阿特拉斯山脉融化的冰川。
D 现已干涸的地下河流。
A1: B

Q2: 撒哈拉的悬崖上仍然展示着
A 雕刻在崖面上的金字塔。
B 腓尼基人的贸易铭文。
C 生动的牛和游泳者的岩画。
D 来自古老商队路线的罗马里程碑。
A2: C

Q3: 撒哈拉变成沙漠是因为
A 地球的轨道倾角改变了微小的一度。
B 罗马军队剥光了该地区的森林。
C 尼罗河改变了流向，离开了该地区。
D 火山灰永久地覆盖了草原。
A3: A

---

3.6 不同于我们自己的心智

撒哈拉以南的动物群被证明比旧教科书所预想的要聪明得多。一只名叫亚历克斯的非洲灰鹦鹉掌握了三百个英语单词，并就颜色和数量提出了真正的问题，此前没有观察到任何动物自发地问过这些问题；据报道，它对研究人员的最后遗言是"我爱你。"大象聚集在死去的亲属周围，站成类似于守夜的样子，在接下来的几年里反复回到骨骼旁，用显然保留着记忆的象鼻抚摸着头骨。实验室任务中的黑猩猩，当观察到另一只黑猩猩因为同样的工作而获得更甜的奖励时，会将食物扔回给实验者，表现出一种令人尴尬的对不公平的愤慨。甚至连这片大陆上没有人设计过的城市也证明在认知上令人印象深刻：军蚁每晚将自己连接成一个叫做宿营地的临时堡垒，黎明时向新的地点进发，而白蚁丘在稀树草原上升起数米高，其复杂的通风竖井协调着内部气候，在一天三十度的温差中波动不超过一度。

Q1: 亚历克斯，那只就颜色和数量提出问题的鸟，是一只
A 非洲灰鹦鹉。
B 阿比西尼亚渡鸦。
C 圈养的鸵鸟。
D 埃及秃鹫。
A1: A

Q2: 大象聚集在死去的亲属周围，站成类似于什么的样子？
A 送葬队伍。
B 守夜，持续数年回到骨骼旁。
C 惊慌的踩踏。
D 完整的、带有堆土仪式的葬礼。
A2: B

Q3: 白蚁丘在稀树草原上高高耸起是因为
A 它们隐藏着一个必须被保护免受捕食者侵害的蚁后。
B 它们复杂的通风竖井协调着内部气候。
C 蚁群在旱季将谷物储存在里面。
D 土壤与唾液混合以硬化以抵抗雨水。
A3: B

---

3.7 尼罗河与法老

每年夏天，这条贯穿非洲东北部的大河都会可靠地泛滥过下游河谷，在两岸狭窄的可耕种土壤带上沉积一层肥沃的淤泥，最后在河流与地中海交汇处展开成宽阔的尼罗河三角洲。埃及的抄写员还开创了河流的早期制图学，在纸莎草纸上描绘了每一条水道和季节性洪水线。这种可靠的泛滥周期产生了农业盈余，支撑了人类最早的中央集权文明之一——古埃及。法老，既是国王又是活神，动员了整整几代石匠，用石灰岩的阶梯状层级组装起巨大的金字塔，旨在作为他的灵魂可以升入来世的阶梯。埃及的抄写员设计了象形文字来记录收成、税收、法令和祈祷，用一种如此持久的文字来编码国家的运作，以至于我们今天仍然可以破译它。防腐师取出死者的内脏，用树脂和泡碱盐保存尸体，制成了近三千年来完好无损的木乃伊。一本详尽的地下世界指南——《亡灵书》，与每一具尸体一起放置，以引导灵魂度过它将遇到的每一个审判。

Q1: 古埃及每年夏天都依赖尼罗河的泛滥，泛滥沉积下
A 来自埃塞俄比亚的火山灰。
B 尼罗河两岸的肥沃淤泥。
C 从地中海冲刷上来的海盐。
D 从努比亚运来的进口谷物。
A1: B

Q2: 法老命令石匠组装金字塔是为了
A 保卫王国免受沙漠袭击者的侵扰。
B 存放皇家粮食储备。
C 提供灵魂可以升入来世的阶梯。
D 标记埃及和努比亚之间的边界。
A2: C

Q3: 埃及的防腐师通过取出内脏并用树脂和泡碱盐保存尸体来制作
A 木乃伊。
B 尸体的蜡模。
C 放置在墓中的粘土雕像。
D 用沥青密封的铜棺。
A3: A

---

3.8 商队与书籍

在撒哈拉沙漠南缘，沙漠开始让位于稀树草原的地方，一座名为廷巴克图的贸易城市在十四世纪繁荣起来。由数千头骆驼组成的商队，以车队的形式穿越沙漠，将盐锭从沙漠盐盘向南运输，并从马里雨林王国带回黄金、象牙和奴隶。来自伊斯兰世界的学者随着贸易而来，积聚在该市的三座主要清真寺中，在那里他们编纂了关于法律、天文学、医学和神学的评注，这些评注在整个伊斯兰世界流传。在鼎盛时期，廷巴克图容纳了近十万居民，并积累了一个据说藏有几十万份手写手稿的图书馆。当第一位欧洲旅行者在十九世纪初最终到达廷巴克图时，他发现水井淤塞了，图书馆散佚了，但手稿并没有消失。它们被后代藏在私人的木箱里，这些后代宁愿隐藏他们的遗产也不愿交出它。这些箱子中的大部分已经比随后的每一次入侵都更持久。

Q1: 在撒哈拉沙漠南缘，以其图书馆闻名的贸易城市是
A 开罗。
B 马拉喀什。
C 廷巴克图。
D 亚历山大。
A1: C

Q2: 撒哈拉沙漠是由数千头骆驼组成的被称为什么的队伍穿越的？
A 商队。
B 舰队。
C 大帆船。
D 军团。
A2: A

Q3: 廷巴克图学者的后代通过以下方式保存了手稿
A 将它们埋在该市的三座主要清真寺中。
B 将它们送到开罗妥善保管。
C 将它们藏在私人的木箱里。
D 在毁掉原件之前将它们翻译成葡萄牙语。
A3: C

---

3.9 海岸边的船只

从十五世纪末开始，欧洲船只定期停靠西非海岸，用枪支、朗姆酒和成匹的布料交换被俘获的人。几个沿海的非洲王国很快意识到，俘虏邻居并将他们与外国人交换可以换来火器，小规模的部落间冲突加速成为有组织的大型战争，其明确目标就是为了获取俘虏。在四个世纪中，这种跨大西洋奴隶贸易将大约一千万到一千两百万非洲人——锁在木船的货舱里——运送到美洲的棉花和甘蔗种植园。西非的人口和社会结构在其年轻人口不断流失的重压下断裂，而贸易所引发的王国间暴力循环，在十九世纪法律上废除奴隶制之后仍然持续了很久。整个大陆仍在承受着余震。诚实的史学家最终都承认，这创伤不仅是由外国船只造成的；也是由那些决定自己参与贸易的非洲王国造成的。

Q1: 大约一千万到一千两百万非洲人通过什么被运送过大西洋？
A 香料贸易。
B 跨大西洋奴隶贸易。
C 葡萄牙传教探险。
D 柏林会议。
